product_name,screen_size,processor,ram,storage,os,price
Asus Vivobook Go 15 OLED Laptop,"15.6""",AMD Ryzen 5,8 GB RAM,,,"1,899"
Honor Pad 8 Tablet - Wi-Fi,"12""",256 GB,Octa Core,Blue Hour,null,899
HP Pavilion x360 2-in-1 Laptop - Convertible,"14""",Intel Core i3,8 GB RAM,,,"2,119"
HP All-in-One Desktop Computer,"23.8""",Intel Core i7,16 GB RAM,,null,"4,019"
Acer Predator Helios Neo 16 Gaming Laptop,"16""",Intel Core i9,32 GB RAM,1 TB SSD,,"7,529"
Lenovo Yoga Book 9 2-in-1 Laptop - Convertible,"13.3""",Intel Core Ultra 7,32 GB RAM,,,"9,229"
MSI Stealth 14 AI Studio Gaming Laptop,"14""",Intel Core Ultra 7,16 GB RAM,,,"6,029"
Lenovo Yoga Slim 7 Laptop,"14.5""",Qualcomm Snapdragon,,,,"6,229"
Lenovo Yoga C700 2-in-1 Laptop - Convertible,"14""",AMD Ryzen 7,16 GB RAM,,,"4,229"
Asus Zenbook DUO Laptop (with Sleeve Case & Stylus),"14""",Intel Core Ultra 9,32 GB RAM,,,"7,799"
Asus Zenbook 14 OLED Laptop,"14""",Intel Core Ultra 9,16 GB RAM,,,"4,799"
Apple MacBook Pro 16 M3 Max Retina XDR Laptop,"16""",M3 Max,36 GB RAM,1 TB SSD,,"15,299"
HP OmniBook X Laptop,"14""",Snapdragon X Elite,16 GB RAM,,,"5,499"
HP All-in-One Desktop Computer,"23.8""",Intel Core i5,8 GB RAM,,null,"3,019"
Lenovo LOQ Gaming Laptop,"15.6""",Intel Core i7,16 GB RAM,,,"4,129"
Lenovo Yoga Pro 7 Laptop,"14.5""",Intel Core Ultra 9,32 GB RAM,,,"7,329"
Lenovo Yoga 7 2-in-1 Laptop - Convertible,"14""",Intel Core Ultra 7,16 GB RAM,,,"5,129"
Lenovo IdeaPad Pro 5 Laptop,"16""",Intel Core Ultra 7,16 GB RAM,,,"5,029"
Lenovo Yoga Slim 6 Laptop,"14""",Intel Core i7,16 GB RAM,,,"3,729"
Lenovo IdeaPad Flex 5 2-in-1 Laptop - Convertible,"14""",Intel Core 3,8 GB RAM,,,"2,229"
MSI Thin 15 Gaming Laptop,"15.6""",Intel Core i7,16 GB RAM,,,"3,829"
Acer Swift SF14-11-X41L Laptop,"14.5""",16 GB RAM,1 TB SSD,Windows 11,null,"5,029"
Lenovo Yoga Pro 7 Laptop,"14.5""",AMD Ryzen 9,32 GB RAM,1 TB SSD,,"6,629"
Huawei MatePad Pro 13.2 Wi-Fi Tablet PC,"13.2""",256 GB,Octa Core,Golden Black,null,"2,949"
Apple iPad 10.2 9th Gen Tablet - 4G,"10.2""",256 GB,Silver,null,null,"2,199"
Huawei MatePad 11.5 S Tablet - Wi-Fi (with Keyboard),"11.5""",256 GB,Octa Core,Violet,null,"1,549"
Huawei MatePad 11.5 S Tablet - Wi-Fi (with Keyboard),"11.5""",256 GB,Octa Core,Space Grey,null,"1,549"
Huawei MatePad 11.5 S Tablet - Wi-Fi,"11.5""",256 GB,Octa Core,Space Grey,null,"1,249"
