Product Title,Product Price,Warranty Period (Months),Accesorises warranty,Warranted by,SKU,Manufacturer Number,processor type,display type,graphics card,display size,operating system,product type,model/chipset number,model series,generation/release,color,operating system architecture,processor speed,capacity,RAM,connectivity technology,ports,display resolution,cam resolution,multimedia features,special features,fingerprint,card reader,battery type,width,height/length,depth,weight,NPU (Neural Processing Unit),AI (Artificial Intelligence),Shipping Weight (kg)
Asus Zenbook 14 OLED Laptop,"3,599",24,12 Months,Manufacturer,620524,UX3402YOLED4W,AMD Ryzen 7-7730U,2.8K OLED SGS Eye Care Display,AMD Radeon Graphics,"14""",Windows 11,Laptop,UX3402YA,Asus ZenBook,2023,Jade Black,64 bit,2.0 GHz,1 TB M.2 NVMe PCIe 3.0 SSD,16 GB RAM,Wi-Fi/Bluetooth,HDMI/USB 3.2/USB-C/Audio Combo Port,2880 X 1800 (OLED),1080P FHD Camera,Harman Kardon,Backlit Chiclet Keyboard,Yes,Yes,Lithium Ion (Li-Ion) - 4 Cell,31.36 cm ( 12.35 in ),22.06 cm ( 8.69 in ),1.69 cm ( .67 in ),1.39 kg ( 3.06 lb ),,,
Apple MacBook Air 13 M1 Retina Laptop,"2,999",24,12 Months,Manufacturer,558437,MGN63ABA,M1 8-core CPU 16-core Neural Engine,Retina Display,7-core GPU,"13.3""",macOS Big Sur,Laptop,,Apple MacBook Air,2020,Space Grey,,,256 GB SSD,8 GB RAM,Wi-Fi/Bluetooth,USB-C (Thunderbolt 3),2560 X 1600 (WQXGA),720p FaceTime HD Camera,Built-in Mic/Speakers,,,,Lithium Ion Polymer (Li-Poly),30.41 cm ( 11.97 in ),21.24 cm ( 8.36 in ),1.61 cm ( .63 in ),1.29 kg ( 2.84 lb ),16-core Neural Engine,Yes,2.43
HP Pavilion Laptop,"4,499",24,12 Months,Manufacturer,641160,B10Q2EAA2N,Intel Core Ultra 7 155U,WUXGA IPS Anti-glare 300N Display,Intel Graphics,"16""",Windows 11 Home,Laptop,16-af0002nx,HP Pavilion,2024,Sky Blue,64 bit,1.7 GHz,1 TB PCIe Gen4,16 GB RAM,Wi-Fi/Bluetooth,,1920 X 1200,1080P FHD Camera,,,,,Lithium Ion (Li-Ion),,,,1.77 kg ( 3.90 lb ),Intel AI Boost,Yes,
MSI Modern 14 Laptop,"2,799",24,12 Months,Agent,645334,9S714S122214,Intel Core i7-1355U (13th Gen),FHD IPS 60 Hz Display,Intel Iris Xe Graphics,"14""",Windows 11,Laptop,F13MG,MSI Modern,2024,Urban Silver,64 bit,P-core: 1.7 - 5.0 GHz/E-core: 1.2 - 3.7 GHz,512 GB NVMe M.2 SSD,16 GB RAM,Wi-Fi/Bluetooth,HDMI/USB 3.2/USB-C (DisplayPort)/RJ-45,1920 X 1080 (FHD),HD Webcam,Built-in Speakers/Mic,,Yes,Yes,Lithium Ion (Li-Ion) - 3 Cell,32.39 cm ( 12.75 in ),21.72 cm ( 8.55 in ),1.99 cm ( .78 in ),1.50 kg ( 3.31 lb ),,,
